Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.101222450007234,0.0611878805385779,0.134712291964518,0,0,0,5.04599768700975,0.0199585188421209,3.5792448395538E-07,-8.4963369555268E-07,0.0204011323429147,8.69413175240226E-06,0.0133780567917248,0,0,0,0,0,0,package://4wheel_castle2/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/base.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFS.STL,,Suspensionsystem-2,Origin_LFS,Axis_LFS,LFS,prismatic,-0.30216,-0.05081,0.029427,2.834,0,0,base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012316,-2.7756E-17,5.8981E-17,0,0,0,0.19359,0.00025308,2.0397E-19,-4.8808E-19,0.00013682,1.6941E-21,0.00013682,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.047479,0.052309,1.2177,0,-3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,0.10792,-0.012126,0.029427,2.834,0,-3.1416,base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012316,-4.4409E-16,2.7756E-16,0,0,0,0.19359,0.00025308,9.8823E-24,5.1839E-21,0.00013682,4.2352E-22,0.00013682,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-1.8458,0,-3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,2.0771E-19,-1.6354E-19,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBS.STL,,suspensioncastle-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.30216,-0.18919,-0.015774,-0.30763,0,0,base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.00221267724899019,-8.10587101562968E-05,2.77555756156289E-17,0,0,0,0.0324803918529465,8.86383358400043E-06,1.20679092415291E-06,-2.43521972335611E-21,2.82924094574379E-06,5.82756204115591E-21,1.07052324634925E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBC.STL,,CastleCatcher-2,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.015068,-0.0047875,1.2653,-0.036921,3.0251,LBS,0,1,0,,,,,,,,,,,,
LBW,-0.0155089419428623,-0.0184390197293757,-0.0160336018603206,0,0,0,0.193585420779862,0.000253081141332253,9.06325253562101E-20,1.03338019565025E-19,0.000136818598566516,-3.3881317890172E-21,0.000136818598566516,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW,LBW,continuous,0.043943,-0.003028,0.020135,0.2527,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.075402,-0.0095357,-0.022201,0,0,0,0.19701,1.688E-05,-8.6209E-20,-8.6491E-21,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBS.STL,,suspensioncastle-1,Origin_RBS,Axis_RBS,RBS,prismatic,0.10216,-0.18919,-0.015774,2.834,0,-3.1416,base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.00221267724899018,-8.10587101562586E-05,-2.77555756156289E-17,0,0,0,0.0324803918529465,8.86383358400041E-06,1.20679092415297E-06,-4.49986253228847E-22,2.82924094574381E-06,-1.42275065359121E-21,1.07052324634925E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBC.STL,,CastleCatcher-1,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,-0.003856,3.1295,RBS,0,1,0,,,,,,,,,,,,
RBW,0.0176794105128818,0,1.31838984174237E-16,0,0,0,0.193585420779862,0.000253081141332254,9.89969757103464E-20,8.8196643888364E-19,0.000136818598566517,1.27054942088145E-21,0.000136818598566517,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/RBW.STL,,wheel-1,Origin_RBW,Axis_RBW,RBW,continuous,0.010755,-0.016873,0,-1.5287,0,0,RBC,1,0,0,3.1,7,,,,,,,,,,
Cam,-0.01933,0.10483,0.10576,0,0,0,0.084224,2.9796E-05,-5.7052E-07,-4.8463E-07,1.3987E-05,1.6709E-08,3.7024E-05,0,0,0,0,0,0,package://4wheel_castle2/meshes/Cam.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/Cam.STL,,webcam-1,좌표계1,,Cam,fixed,0,0,0,0,0,1.5708,base,0,0,0,,,,,,,,,,,,
Lidar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://4wheel_castle2/meshes/Lidar.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle2/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,-0.23716,0.016589,-0.56869,1.5708,0,1.5973,base,0,0,0,,,,,,,,,,,,
